 0.00000000e+00 -2.03659312e-12 
 1.00000000e-01 -4.80682161e-12 
 2.00000000e-01 -3.99689171e-11 
 3.00000000e-01 -4.84302376e-10 
 4.00000000e-01 -5.99945693e-09 
 5.00000000e-01 -7.04327352e-08 
 6.00000000e-01 -6.97912477e-07 
 7.00000000e-01 -4.74592921e-06 
 8.00000000e-01 -1.91451560e-05 
 9.00000000e-01 -4.83465908e-05 
 1.00000000e+00 -8.87674453e-05 
 1.10000000e+00 -1.35141610e-04 
 1.20000000e+00 -1.84593052e-04 
 1.30000000e+00 -2.35816015e-04 
 1.40000000e+00 -2.88115929e-04 
 1.50000000e+00 -3.41048569e-04 
 1.60000000e+00 -3.94303222e-04 
 1.70000000e+00 -4.47655558e-04 
 1.80000000e+00 -5.00941446e-04 
